Id,Name,Text,Colorway,Main_color,Category,Retail_price,Brand
1,Air Jordan 3 Retro 'Cement Grey',"The Jordan 3 Retro Cement Grey was released as part of the Reimagined Series, which takes classic Jordan brand silhouettes and colorways and updates them for contemporary audiences.

Inspired by the original sneaker from 1988, this version of the Air Jordan 3 Retro adds a ""Cement Grey"" colorway, which includes Summit White, Cement Grey, Fire Red, and black. This combination of colors pays homage to the iconic ""White Cement"" colorway. The Cement Grey Jordan 3 Retro sneaker boasts other heritage features, including elephant skin print around the heel, forefoot, and lace cage. The upper is crafted from premium leather with bold Jordan branding, including the large, Fire Red Jumpman logo on the leather tongue and a black Jumpman logo with AIR lettering rubberized on the heel.

Our experts at StockX like the visible Air-Sole units in the heel, which provide cushioning and display the sneaker’s innovative technology. The Jordan 3 Retro Cement Grey was released on August 31, 2024, and sold for $200.
",Summit White/Fire Red/Cement Grey/Black,White,Lifestyle,200,Jordan
2,Air Jordan 1 Retro Low OG 'Mocha',"The Jordan 1 Retro Low OG Mocha is a low-top shoe whose design was inspired by the 80s basketball look.
  
The Mocha Jordan 1 Retro Low OG has an upper made of white leather. This material and color form the side panels and the toebox, which also has perforations for extra air flow. A black leather overlay serves as the toecap and mudguard and attaches the bottom eyelets to the midsole. Thin black Nike Swooshes also appear in black leather on each side. Suede in Dark Mocha forms the heel counter and heel collar, and the heel collar also features a black Air Jordan logo. The tongue also bears a Dark Mocha Nike Air patch. A white midsole and black outsole complete the look. 

The most interesting feature of this shoe are the way the black and Dark Mocha colors work together, adding a hint of subtle elegance. The Jordan 1 Retro Low OG Mocha was released on September 21, 2024, for $140.",White/Black/Palomino,Brown,Lifestyle,140,Jordan
3,Air Jordan 4 Retro 'Fear' 2024,"The Jordan 4 Retro Fear (2024) marks the return of one of the most anticipated releases from the Fear Pack. Originally released in 2013, the Fear Pack was designed to explore Michael Jordan’s fear of failure and his drive to overcome it. The Jordan 4 Fear stood out from the pack with its sleek black, anthracite, and pure platinum color scheme, giving the iconic silhouette a bold, edgy look. The signature flight patch on the tongue, a hallmark of the Jordan 4, emphasizes the model’s connection to MJ’s legacy and impact both on and off the court.

Crafted with a mix of premium leather and nubuck, the Jordan 4 Fear offers a perfect blend of durability and style. Its visible Air cushioning unit provides superior comfort, while the supportive design ensures the sneaker’s performance capabilities match its striking appearance. The muted black and grey tones are contrasted with white accents, making this one of the most versatile and stylish sneakers in the Jordan lineup. The Jordan 4 continues to rise in popularity, cementing its place as a fan favorite among sneakerheads.

Released on November 9, 2024, the Jordan 4 Retro Fear retailed for $215. With its timeless design and connection to Jordan’s storied legacy, this sneaker is a must-have for collectors and fashion enthusiasts alike, making it one of the most sought-after releases of the year.",Black/White/Anthracite/Black/Pure Platinum,Black,Lifestyle,215,Jordan
4,Wmns Air Jordan 11 Retro 'Bred Velvet',"The Jordan 11 Retro Bred Velvet (Women's) is an iteration of the classic ""Bred"" colorway on the iconic Jordan 11, this time with a velvet upper and in a women's exclusive size run.

Last released in 2019, the Bred 11s are one of the most sought after retros, as they represent Michael Jordan's comeback to win his fourth NBA championship in 1996. This velvet version provides a lux alternative to the standard leather option that the 2019 version has. This sneaker has an all-black upper, white mid-sole, and red sole along with a red Jumpman logo on the outer heel.

The Jordan 11 Retro Bred Velvet (Women's) released on November 11th, 2024, for a retail price of $230. We love this sneaker due to its luxury take on a classic sneaker, making it something you truly cannot go wrong with.",Black/Gym Red/White,Black,Lifestyle,230,Jordan
5,Wu-Tang x Nike Dunk High Retro Premium 2024,"The Nike Dunk High Wu-Tang (2024) brings back one of the most legendary sneaker collaborations in history. First released in 1999, the original Wu-Tang Dunk High was one of the earliest examples of a sneaker partnership with a music group, setting the stage for the future of sneaker culture. Finished in the Wu-Tang Clan's signature black and goldenrod color scheme, this 2024 retro release stays true to the original with its bold, eye-catching design. The custom Wu-Tang logo on the heel and tongue label remains an iconic detail, paying tribute to the group's legacy.

The Wu-Tang Dunk High features a premium leather upper in striking black and yellow, giving the sneaker a high-quality look and feel. Its classic high-top design offers support and comfort, making it perfect for both casual wear and street style. The sneaker’s retro roots, combined with the Wu-Tang Clan’s influence on music and culture, make this an essential addition for fans of both hip-hop and sneaker culture. Nike’s return of this historic design is sure to draw significant attention from collectors and enthusiasts alike.

Released on September 28, 2024, the Nike Dunk High Wu-Tang retailed for $150. This limited-edition sneaker is not just a piece of footwear—it’s a cultural artifact that celebrates the intersection of music and fashion, making it one of the year’s most highly anticipated releases.",Black/Pollen/White,Yellow,Lifestyle,150,Nike
6,Air Jordan 9 Retro 'Olive' 2024,"The 2024 edition of the Air Jordan 9 Retro 'Olive' brings back an OG colorway of the legacy silhouette. Secured with a speed lacing system, the black leather upper features perforated paneling with contrasting nubuck overlays in a brownish-olive hue. 'Air Jordan' is inscribed on the tongue tag in scarlet lettering, matching the molded Jumpman badge at the rear collar. A red Jumpman logo stands out on a black polyurethane midsole with encapsulated Air-sole cushioning in the forefoot and heel.",Black/True Red/Light Olive,Black,Lifestyle,210,Jordan
7,Air Jordan 4 Retro 'White Thunder',"The Jordan 4 Retro White Thunder reimagines the iconic Jordan 4 silhouette with a sleek and modern twist. Drawing inspiration from the beloved Black and Yellow Thunder 4s that last dropped in 2023, this new iteration brings a bold contrast with its black nubuck upper, complemented by crisp white accents. This sneaker features a white midsole that sharply contrasts with the black outsole, creating a look that’s both striking and versatile. The iconic Jumpman logo on the heel and tongue patch serves as a nod to the rich heritage of the Jordan brand, making this release a must-have for fans and collectors alike.

The Jordan 4, originally released in 1989, has long been a favorite among sneaker enthusiasts and basketball fans. Known for its unique design elements like the mesh paneling, visible Air unit, and supportive wings, the Jordan 4 has cemented its place in sneaker history. The White Thunder edition continues this legacy, offering a fresh take on a classic model that resonates with a new generation of sneakerheads. The predominantly black upper not only enhances the sneaker’s sleek look but also adds a touch of sophistication that makes it perfect addition to any outfit.

Released on August 24, 2024, the Jordan 4 Retro White Thunder retailed at $215.This release is a perfect blend of heritage and modern style, making it an essential addition to any sneaker rotation. Whether you’re a die-hard Jordan fan or new to the game, the White Thunder colorway offers something special that’s sure to turn heads.",Black/White/Black,Black,Lifestyle,215,Jordan
8,Air Jordan 14 Retro 'Black Toe' 2024,"The 2024 edition of the Air Jordan 14 Retro 'Black Toe' brings back an original colorway of the championship silhouette. Smooth white leather is employed on the upper, contrasted by black suede construction on the toe. Matching black accents cover the tongue, collar lining and back tab, marked with an embossed Jumpman and oversized '23' branding. A miniature Jumpman logo adorns the toe box in crimson embroidery, while a Ferrari-inspired Jumpman badge graces the lateral collar. Performance benefits include a lightweight, low-profile Phylon midsole, fitted with a chrome-plated shank plate and encapsulated Zoom Air cushioning in the forefoot and heel.",White/Varsity Red/Black/Metallic Silver,White,Lifestyle,210,Jordan
9,Air Jordan 1 Retro High OG 'Midnight Navy',"The Air Jordan 1 Retro High OG 'Midnight Navy' is built with a smooth leather construction, combining a white base with contrasting navy accents on the forefoot overlay, heel and ankle flap. The signature Swoosh is rendered in black, matching the high-cut padded collar and debossed Wings logo. A woven Nike Air tag adorns the breathable nylon tongue. The high-top is mounted on a rubber cupsole, featuring vintage off-white sidewalls and a navy outsole.",Midnight Navy/Black/White/Sail,Blue,Lifestyle,180,Jordan
10,adidas Handball SpezialEarth Strata Gum (Women's),"The adidas Handball Spezial Earth Strata Gum (Women's) upgrades the Handball Spezial silhouette with a neutral colorway of Earth Strata and Off White.

The upper construction boasts supple suede in Earth Strada and a tonal T-shaped toebox in the same material. Both the 3-Stripes logo and the panels that form the lace cage feature serrated edges. While Earth Strata is the dominant tone, Off White can be found on the 3-Stripes logo, the heel tab, the laces, and the tongue’s logo tag. This logo tag has a vintage-inspired design that finds inspiration in adidas’ retro handball catalog. Other branding details include ‘SPEZIAL’ printed along the 3-Stripes logo in metallic lettering and ‘adidas’ embossed into the outsole.

Our experts at StockX like the inclusion of standard-colored gum on the rubber outsole instead of light or medium gum. It gives the sneaker a vintage appearance. The women’s size adidas Handball Spezial Earth Strata Gum (Women's) was released on November 10th, 2023, and sold for $110.",Earth Strata/Off White/Gum,Brown,Lifestyle,110,adidas
